Flag of vessel,Date vessel departed with captives,Vessel name,Captain's name
Netherlands,,Huis ter Mee,"Boer, Cornelis den"
Netherlands,,Huis ter Mee,"Boer, Cornelis den"
Netherlands,,Huis ter Mee,"Forbus, Izaac"
Netherlands,,Huis ter Mee,"Forbus, Izaac"
Netherlands,,Huis ter Mee,"Forbus, Izaac"
Netherlands,,Huis ter Mee,"Forbus, Izaac"
Netherlands,,Huis ter Mee,"Baas, Isaac den"
Netherlands,1784-04-24T00:00:00Z,Ida Agatha,"Grim, Jochem"
Netherlands,,Indiaan,"Kaas, Willem"
Netherlands,1762-05-07T00:00:00Z,Jacoba Maria,"Solomi, David"
Netherlands,,Jacoba Maria,"Solomi, David"
Netherlands,,Jacoba Maria,"Lamote, Cornelis"
Netherlands,,Jan en Elisabeth,"Breen, Hendrik van"
Netherlands,,Jan en Elisabeth,"Breen, Hendrik van"
Netherlands,,Jan en Elisabeth,"Vos, Jan de"
Netherlands,,Jan en Elisabeth,"Baane, Jan Cornelis"
Netherlands,,Jan en Elisabeth,"Baane, Jan Cornelis"
Netherlands,,Jan en Elisabeth,"Baane, Jan Cornelis"
Netherlands,,Jan en Elisabeth,"Baane, Jan Cornelis"
Netherlands,,Jan en Elisabeth,"Hollander, J C"
Netherlands,,Jan en Elisabeth,"Hollander, J C"
Netherlands,,Jan en Elisabeth,"Hollander, J C"
Netherlands,,Jan en Elisabeth,"Hollander, Cornelis Andries"
Netherlands,,Jan en Elisabeth,"Hollander, J C"
Netherlands,,Jan en Jacobus,"Ketner, Christiaan"
Netherlands,,Jan en Jacobus,"Ketner, Christiaan"
Netherlands,,Jan en Cornelis,"Jansen, Jurgen"
Netherlands,,Jan en Cornelis,"Jansen, Jurgen"
Netherlands,,Jan en Cornelis,"Jansen, Jurgen"
Netherlands,1786-05-06T00:00:00Z,Johanna,"Murk, Pieter"
Netherlands,,Johanna Christina,"Vrijben, L R"
Netherlands,,Johannesburg,"Bruijn, Michiel"
Netherlands,,Johannes,"Everse, Hans"
Netherlands,,Jonge Cornelis,"Jol, David"
Netherlands,,Jonge Cornelis,"Jol, David"
Netherlands,1790-11-15T00:00:00Z,Jonge Dirk,"Grim, Jochem"
Netherlands,1793-08-27T00:00:00Z,Jonge Dirk,"Grim, Jochem"
Netherlands,,Jonge Hendrik,"Beeter, Jacob"
Netherlands,,Jonge Hendrik,"Leger, Jan"
Netherlands,,Jonge Hendrik,"Lagorde"
Netherlands,1754-10-21T00:00:00Z,Jonge Isaac,"Beekman, Godfried"
Netherlands,,Jonge Isaac,"Beekman, Godfried"
Netherlands,,Jonge Isaac,"Beekman, Godfried"
Netherlands,,Jonge Jacob,"Moeremans, Jan"
Netherlands,1769-10-29T00:00:00Z,Jonge Jacob,"Molder, Willem de"
Netherlands,1769-10-29T00:00:00Z,Jonge Jacob,"Baas, Isaac den"
Netherlands,,Jonge Jacob,"Mick, C F"
Netherlands,,Jonge Jacob,"Mick, C F"
Netherlands,,Jonge Jacob,"Nap, Claas"
Netherlands,,Jonge Jacob,"Nap, Claas"
Netherlands,,Jonge Jacob,"Mick, C F"
Netherlands,,Jonge Jacob,"Nap, Claas"
Netherlands,,Jonge Jacob,"Havinga"
Netherlands,,Jonge Jan,"Hambeek, Hendrik"
Netherlands,1765-01-17T00:00:00Z,Jonge Jan,"Bevers, Anthony"
Netherlands,1783-12-17T00:00:00Z,Jonge Jan,"Riems, Jan"
Netherlands,1791-10-18T00:00:00Z,Jonge Jan,"Bakker, Dirk"
Netherlands,,Jonge Johannes,"Zell, Georg Christoff"
Netherlands,,Jonge Johannes,"Zell, Georg Christoff"
Netherlands,,Jonge Lambregt,"Langebeek, Abraham"
Netherlands,,Jonge Lambregt,"Langebeek, Abraham"
Netherlands,,Jonge Lambregt,"Langebeek, Abraham"
Netherlands,,Jonge Lambregt,"Langebeek, Abraham"
Netherlands,,Jonge Lambregt,"Smit, Michiel"
Netherlands,1773-07-28T00:00:00Z,Jonge Lambregt,"Bremer, Carel"
Netherlands,,Jonge Lambregt,"Bremer, Carel"
Netherlands,,Jonge Lambregt,"Vervenne, Cornelis"
Netherlands,1767-03-27T00:00:00Z,Jonge Matheus en Catharina,"Pauw, Jan"
Netherlands,,Jonge Pedro,
Netherlands,,Jonge Pedro,
Netherlands,,Jonge Pedro,
Netherlands,,Jonge Pedro,"Vallé, Jacob"
Netherlands,,Jonge Pedro,"Cannel, Jan"
Netherlands,,Jonge Pieter Galeij,
Netherlands,,Jonge Rombout,"Bevers, Anthony"
Netherlands,,Jonge Rombout,"Bevers, Anthony"
Netherlands,,Jonge Rombout,"Bevers, Anthony"
Netherlands,,Jonge Rombout,"Bevers, Anthony"
Netherlands,,Jonge Ruiter,"Klerk, Isaac de"
Netherlands,,Jonge Ruiter,"Klerk, Isaac de"
Netherlands,1769-07-28T00:00:00Z,Jonge Ruiter,"Klerk, Isaac de"
Netherlands,,Jonge Ruiter,"Klerk, Isaac de"
Netherlands,1772-09-10T00:00:00Z,Jonge Ruiter,"Klerk, Isaac de"
Netherlands,,Jonge Ruiter,"Klerk, Isaac de"
Netherlands,,Jonge Ruiter,"Klerk, Isaac de"
Netherlands,,Jonge Samuel,"Hollander, Cornelis Andries"
Netherlands,,Jonge Samuel,"Hollander, Cornelis Andries"
Netherlands,,Jonge Samuel,"Oorbaan, Willem"
Netherlands,,Jonge Samuel,"Harmensz, G"
Netherlands,,Jonge Samuel,"Klerk, François de"
Netherlands,1778-07-06T00:00:00Z,Jonge Samuel,"Klerk, François de"
Netherlands,,Jonge Stam,"Hollander, Cornelis Andries"
Netherlands,,Jonge Stam,"Hollander, Cornelis Andries"
Netherlands,1770-05-02T00:00:00Z,Jonge Willem,"Noordhoek, Johannes"
Netherlands,,Jonge Willem,"Noordhoek, Johannes"
Netherlands,,Jonge Willem,"Noordhoek, Johannes"
Netherlands,,Jonge Willem,"Loef, Cornelis"
Netherlands,,Jonge Willem,"Loef, Cornelis"
Netherlands,,Jonge Willem,"Lagay, Pieter"
Netherlands,,Keenenburg,"Bruijn, Jan de"
Netherlands,1771-04-03T00:00:00Z,Keenenburg,"Bruijn, Jan de"
Netherlands,1773-06-07T00:00:00Z,Keenenburg,"Bruijn, Jan de"
Netherlands,1776-02-14T00:00:00Z,Keenenburg,"Bruijn, Jan de"
Netherlands,,Kroonprins van Pruisen,"Meester, Hendrik"
Netherlands,,Laarenburg,"Noels, Andries"
Netherlands,,Laarenburg,"Noels, Andries"
Netherlands,,Lammerenburg,"Vleeshouwer, Michiel"
Netherlands,,Lammerenburg,"Vleeshouwer, Michiel"
Netherlands,,Lammerenburg,"Vleeshouwer, Michiel"
Netherlands,,Lammerenburg,"Jansen, Jan"
Netherlands,,Lammerenburg,"Janssen, Jan"
Netherlands,1789-05-16T00:00:00Z,Landlust,"Tol, Casper"
Netherlands,1788-05-07T00:00:00Z,Lea,"Jacobs, Claas"
Netherlands,,Louisa Margarita,"Lindenberg, J"
Netherlands,1793-07-03T00:00:00Z,Lust and Vlijt,"Duijker, Gerrit"
Netherlands,1793-07-03T00:00:00Z,Lust and Vlijt,"Luijtzen, Simon"
Netherlands,1771-08-30T00:00:00Z,Maas,"Port, Ary van der"
Netherlands,,Magdalena Maria,"Klerk, Pieter de"
Netherlands,,Magdalena Maria,"Klerk, Pieter de"
Netherlands,,Magdalena Maria,"Klerk, Pieter de"
Netherlands,,Magdalena Maria,"Reichert, Frans"
Netherlands,,Magdalena Maria,"Reichert, Frans"
Netherlands,,Magdalena Maria,"Reichert, Frans"
Netherlands,,Magdalena Maria,"Reichert, Frans"
Netherlands,,Magteld,"Boudewijn, J M"
Netherlands,,Maria en Elisabeth,"Lagorde, Andries"
Netherlands,,Maria en Elisabeth,"Lagorde, Andries"
Netherlands,1748-06-06T00:00:00Z,Maria Galei,"Eeling, Cornelis"
Netherlands,,Maria Geertruid Galei,"Vermout, Hermanus"
Netherlands,1756-09-13T00:00:00Z,Maria Geertruid Galei,"Vermout, Hermanus"
Netherlands,,Maria Geertruid Galei,"Vermout, Hermanus"
Netherlands,,Maria Geertruid Galei,"Pietersen, Jan"
