,Flag of vessel,Date vessel departed with captives,Vessel name,Captain's name
168,Netherlands,1756-02-18T00:00:00Z,Goed Succes,"Westerdaal, Coert"
169,Netherlands,1791-04-23T00:00:00Z,Goed Voornemen,"Tol, Casper"
170,Netherlands,1793-05-23T00:00:00Z,Goed Voornemen,"Tol, Casper"
171,Netherlands,1787-08-10T00:00:00Z,Goede Hoop,"Muijen, Cornelis van"
172,Netherlands,1790-04-22T00:00:00Z,Goede Hoop,"Muijen, Cornelis van"
173,Netherlands,,Goede Verwachting,"Steen, Jan van der<br/> Churchill, Edward"
174,Netherlands,,Granadier,"Loo, Jan van der"
175,Netherlands,,Granadier,"Loo, Jan van der"
176,Netherlands,,Granadier,"Jansen, Roelof<br/> Solomons, Jan"
177,Netherlands,1749-10-10T00:00:00Z,Granadier,"Steenhof, Albert"
178,Netherlands,,Granadier,"Kerkhoven, Jan van"
179,Netherlands,1787-02-27T00:00:00Z,Stad Groningen,"Tol, Casper"
180,Netherlands,1742-09-14T00:00:00Z,Groot Prooijen,"Jansen, Willem"
181,Netherlands,1744-08-03T00:00:00Z,Groot Prooijen,"Bonrepo, Gideon de"
182,Netherlands,,Groot Prooijen,"Rien, Hendrik van"
183,Netherlands,1741-04-13T00:00:00Z,Guinese Galei,"Bonrepo, Gideon de"
184,Netherlands,,Guinese Vrienden,"Meijer<br/> Rulle, A"
185,Netherlands,,Guinese Vriendschap,"Grim, Jan"
186,Netherlands,,Guinese Vriendschap,"Grim, Jan"
187,Netherlands,,Guinese Vriendschap,"Grim, Jan"
188,Netherlands,,Guinese Vriendschap,"Grim, Jan"
189,Netherlands,,Guinese Vriendschap,"Grim, Jan"
190,Netherlands,1765-11-23T00:00:00Z,Guinees Welvaren,"Sluijter, Pieter Hermanus"
191,Netherlands,,Gulde Vrijheid,"Vallé, Jacob"
192,Netherlands,,Gulde Vrijheid,
193,Netherlands,,Gulde Vrijheid,"Nijsse, Jacob de"
194,Netherlands,,Gulde Vrijheid,"Nijsse, Jacob de"
195,Netherlands,,Gulde Vrijheid,"Nijsse, Jacob de"
196,Netherlands,,Gulde Vrijheid,Hollem
197,Netherlands,,Gulde Vrijheid,"Moor, Jan de"
198,Netherlands,,Gulde Vrijheid,"Moor, Jan de"
199,Netherlands,,Gulde Vrijheid,"Sterk, Cornelis<br/> Lins, Gabriel"
200,Netherlands,,Gulde Vrijheid,"Hermansz, N"
201,Netherlands,1764-04-11T00:00:00Z,Gulde Vrijheid,"Minnelust, Carel Michiel<br/> Rietveld, Dirk"
202,Netherlands,,Gulde Vrijheid,"Rietveld, Dirk"
203,Netherlands,1767-08-29T00:00:00Z,Gulde Vrijheid,"Rietveld, Dirk"
204,Netherlands,,Gulde Vrijheid,"Rietveld, Dirk"
205,Netherlands,,Gulde Vrijheid,"Rietveld, Dirk"
206,Netherlands,1772-02-12T00:00:00Z,Gulde Vrijheid,"Rietveld, Dirk"
207,Netherlands,,Gulde Vrijheid,"Rietveld, Dirk"
208,Netherlands,,Gulde Vrijheid,"Rietveld, Dirk"
209,Netherlands,,Gulde Vrijheid,"Ketner, Christiaan"
210,Netherlands,1765-07-12T00:00:00Z,Haast U Langzaam,"Menkenveld, Jan"
211,Netherlands,1767-11-18T00:00:00Z,Haast U Langzaam,"Chatelain, Adriaan"
212,Netherlands,1770-01-14T00:00:00Z,Haast U Langzaam,"Chatelain, Adriaan"
213,Netherlands,1771-06-27T00:00:00Z,Haast U Langzaam,"Chatelain, Adriaan"
214,Netherlands,1773-08-20T00:00:00Z,Haast U Langzaam,"Sprang, Jan van"
215,Netherlands,1775-12-06T00:00:00Z,Haast U Langzaam,"Kakom, Cornelis van"
216,Netherlands,1778-01-31T00:00:00Z,Haast U Langzaam,"Kakom, Cornelis van"
217,Netherlands,1780-06-29T00:00:00Z,Haast U Langzaam,"Kakom, Cornelis van"
218,Netherlands,,Helena,"Boer, Cornelis den"
219,Netherlands,,Helena,"Boer, Adriaan den"
220,Netherlands,,Hermina Elisabeth,"Dupont, D<br/> Bekker, F<br/> Grim, Jochem"
221,Netherlands,,Hermina Elisabeth,"Grim, Jochem"
222,Netherlands,,Herstelder,"Stap, Pieter"
223,Netherlands,1772-06-01T00:00:00Z,Herstelder,"Stap, Pieter"
224,Netherlands,1733-04-01T00:00:00Z,Hof van Zeeland,"Moor, Jan de"
225,Netherlands,1735-01-20T00:00:00Z,Hoop,"Eversen, Huijbrecht"
226,Netherlands,1763-03-14T00:00:00Z,Espérance (a) Hoop,"Jacobs, Paulus"
227,Netherlands,,Hoop,"Magnus, Carel<br/> Dankers, Joost"
228,Netherlands,1784-12-07T00:00:00Z,Hoop,"Udemans, Pieter Gideon"
229,Netherlands,,Hoop,"Eggers, M"
230,Netherlands,,Hougly Galey (a) Hoogland,
231,Netherlands,1781-02-25T00:00:00Z,Huis van Brandenburg,"Klerk, François de"
232,Netherlands,,Huis ter Mee,"Boer, Cornelis den"
233,Netherlands,,Huis ter Mee,"Boer, Cornelis den"
234,Netherlands,,Huis ter Mee,"Boer, Cornelis den"
235,Netherlands,,Huis ter Mee,"Boer, Cornelis den"
236,Netherlands,,Huis ter Mee,"Forbus, Izaac"
237,Netherlands,,Huis ter Mee,"Forbus, Izaac"
238,Netherlands,,Huis ter Mee,"Forbus, Izaac"
239,Netherlands,,Huis ter Mee,"Forbus, Izaac<br/> Baas, Isaac den"
240,Netherlands,1784-04-24T00:00:00Z,Ida Agatha,"Grim, Jochem"
241,Netherlands,,Indiaan,"Kaas, Willem"
242,U.S.A.,,Industry,"Medden, W"
243,Netherlands,1762-05-07T00:00:00Z,Jacoba Maria,"Solomi, David"
244,Netherlands,,Jacoba Maria,"Solomi, David<br/> Lamote, Cornelis"
245,U.S.A.,,Jacobina,"Fredericks, M"
246,Netherlands,,Jan en Elisabeth,"Breen, Hendrik van"
247,Netherlands,,Jan en Elisabeth,"Breen, Hendrik van<br/> Vos, Jan de"
248,Netherlands,,Jan en Elisabeth,"Baane, Jan Cornelis"
249,Netherlands,,Jan en Elisabeth,"Baane, Jan Cornelis"
250,Netherlands,,Jan en Elisabeth,"Baane, Jan Cornelis"
251,Netherlands,,Jan en Elisabeth,"Baane, Jan Cornelis"
252,Netherlands,,Jan en Elisabeth,"Hollander, J C"
253,Netherlands,,Jan en Elisabeth,"Hollander, J C"
254,Netherlands,,Jan en Elisabeth,"Hollander, J C"
255,Netherlands,,Jan en Elisabeth,"Hollander, Cornelis Andries"
256,Netherlands,,Jan en Elisabeth,"Hollander, J C"
257,Netherlands,,Jan en Jacobus,"Ketner, Christiaan"
258,Netherlands,,Jan en Jacobus,"Ketner, Christiaan"
259,Netherlands,,Jan en Cornelis,"Jansen, Jurgen"
260,Netherlands,,Jan en Cornelis,"Jansen, Jurgen"
261,Netherlands,,Jan en Cornelis,"Jansen, Jurgen"
262,Netherlands,1786-05-06T00:00:00Z,Johanna,"Murk, Pieter"
263,Netherlands,,Johanna Christina,"Vrijben, L R"
264,Netherlands,,Johannesburg,"Bruijn, Michiel"
265,Netherlands,,Johannes,"Everse, Hans"
266,Netherlands,,Jonge Cornelis,"Jol, David"
267,Netherlands,,Jonge Cornelis,"Jol, David"
