,Flag of vessel,Date vessel departed with captives,Vessel name,Captain's name,Reordered Captain's name respelled,Original Captain's name,Vessel name corrected,Original Vessel name
1181,Netherlands,1723-05-01T00:00:00Z,Duinvliet,"Geleijnse, Pieter", Pieter Geleijnse,,,
1182,Netherlands,,Duinvliet,"Lambregts, Andries", Andries Lambregts,,,
1183,Netherlands,1726-03-24T00:00:00Z,Duinvliet,"Maas, Sijmon", Sijmon Maas,,,
1184,Netherlands,1732-01-26T00:00:00Z,Duinvliet,"Ovens, Simon", Simon Ovens,,,
1185,Netherlands,1733-09-21T00:00:00Z,Duinvliet,"Leek, Claas Jansen", Claas Jansen Leek,,,
1186,Netherlands,1735-08-22T00:00:00Z,Duinvliet,"Leek, Claas Jansen", Claas Jansen Leek,,,
1187,Netherlands,1737-06-30T00:00:00Z,Duinvliet,"Walraven, Cornelis", Cornelis Walraven,,,
1188,Netherlands,1675-10-26T00:00:00Z,Eendracht,"Turner, Ephraim", Ephraim Turner,,,
1189,Netherlands,,Eendracht,"Arel, Jan van", Jan van Arel,,,
1190,Netherlands,,Eendracht,"Domer, Claas Pietersz", Claas Pietersz Domer,,,
1191,Netherlands,,Eendracht,"Rijk, Willem Robbertsz", Willem Robbertsz Rijk,,,
1192,Netherlands,,S George Delmina,"Roos, Roelof", Roelof Roos,,,
1193,Netherlands,1715-03-09T00:00:00Z,Emmenes,"Louw, Claas Cornelis", Claas Cornelis Louw,,,
1194,Netherlands,1717-11-23T00:00:00Z,Emmenes,"Sitter, Jan de", Jan de Sitter,,,
1195,Netherlands,1717-11-23T00:00:00Z,Emmenes,"Belle, Pieter", Pieter Belle,,,
1196,Netherlands,,Emmenes,"Saanen, Jan van", Jan van Saanen,,,
1197,Netherlands,,Emmenes,"Valk, Pieter Sijmonsz", Pieter Sijmonsz Valk,,,
1198,Netherlands,,Emmenes,"Horst, Hendrik ter", Hendrik ter Horst,,,
1199,Netherlands,,Emmenes,"Haan, Gerrit de", Gerrit de Haan,,,
1200,Netherlands,1725-07-31T00:00:00Z,Emmenes,"Nijgh, Leendert", Leendert Nijgh,,,
1201,Netherlands,1716-09-30T00:00:00Z,Engelenburg,"Lambregts, Andries", Andries Lambregts,,,
1202,Netherlands,1716-09-30T00:00:00Z,Engelenburg,Bruijn,Bruijn,,,
1203,Netherlands,1678-04-30T00:00:00Z,Europa,"Claasz, Jochem", Jochem Claasz,,,
1204,Netherlands,,Europa,"Stolck, Arent Gijsen van der", Arent Gijsen van der Stolck,,,
1205,Netherlands,1687-10-30T00:00:00Z,Europa,"Brasser, Matthijs Laurensz", Matthijs Laurensz Brasser,,,
1206,Netherlands,,Europa,"Pets, Daniel", Daniel Pets,,,
1207,Netherlands,,Eva Maria,"Kagias, Nanningh", Nanningh Kagias,,,
1208,Netherlands,1698-07-28T00:00:00Z,Eva Maria,"Rijcken, Simon", Simon Rijcken,,,
1209,Netherlands,1698-07-28T00:00:00Z,Eva Maria,"Knoppeldoeck, Jacob Pietersz", Jacob Pietersz Knoppeldoeck,,,
1210,Netherlands,,Eva Maria,"Kagias, Nanningh", Nanningh Kagias,,,
1211,Netherlands,1725-12-22T00:00:00Z,Eva Suzanna,"Welsingh, Hendrik", Hendrik Welsingh,,,
1212,Netherlands,1700-10-17T00:00:00Z,Faam,"Winterman, Antonij", Antonij Winterman,,,
1213,Netherlands,1715-12-14T00:00:00Z,Fida,"Leijm, Lodewijk van der", Lodewijk van der Leijm,,,
1214,Netherlands,,Fortuin,"Volle, Jacob", Jacob Volle,,,
1215,Netherlands,,Fortuin,"Lierman, Ewout", Ewout Lierman,,,
1216,Netherlands,1722-04-30T00:00:00Z,Geertruid Galei,"Kreeft, Benjamin", Benjamin Kreeft,,,
1217,Netherlands,1684-12-05T00:00:00Z,Geertruid,"Mol, Gerrit Cornelis", Gerrit Cornelis Mol,,,
1218,Netherlands,1716-04-12T00:00:00Z,Gelderland,"Goed, Jan Pietersz", Jan Pietersz Goed,,,
1219,Netherlands,,Gele Ruiter,,,,,
1220,Netherlands,,Gele Ruiter,,,,,
1221,Netherlands,1691-02-08T00:00:00Z,Gele Ruiter,"Coster, Sijmon", Sijmon Coster,,,
1222,Netherlands,,Gideon,"Kock, Dirk Barents", Dirk Barents Kock,,,
1223,Netherlands,1688-08-14T00:00:00Z,Gideon,"Veltkamp, Jan Hendicksz", Jan Hendicksz Veltkamp,,,
1224,Netherlands,1698-08-22T00:00:00Z,Gideon,"Dam, Herman van", Herman van Dam,,,
1225,Netherlands,1698-08-22T00:00:00Z,Gideon,"Kock, Dirck", Dirck Kock,,,
1226,Netherlands,,Gideon,"Kock, Dirk Barents", Dirk Barents Kock,,,
1227,Netherlands,,Goude Brakhond,"Hit, Cornelis van", Cornelis van Hit,,,
1228,Netherlands,1684-11-25T00:00:00Z,Goude Leeuw,"Hoven, Frederik Frederiksz van", Frederik Frederiksz van Hoven,,,
1229,Netherlands,,Goude Leeuw,"Eijck, Michiel Joosten van", Michiel Joosten van Eijck,,,
1230,Netherlands,,Goude Poort,"Bodt, Pieter Jansz", Pieter Jansz Bodt,,,
1231,Netherlands,,Goude Poort,"Raes, Claes", Claes Raes,,,
1232,Netherlands,,Goude Put,"Kreeft, Benjamin", Benjamin Kreeft,,,
1233,Netherlands,1727-01-06T00:00:00Z,Goude Put,"Kreeft, Benjamin", Benjamin Kreeft,,,
1234,Netherlands,1729-11-17T00:00:00Z,Goude Put,"Kreeft, Benjamin", Benjamin Kreeft,,,
1235,Netherlands,1731-12-24T00:00:00Z,Goude Put,"Kreeft, Benjamin", Benjamin Kreeft,,,
1236,Netherlands,1734-10-09T00:00:00Z,Goude Put,"Kreeft, Benjamin", Benjamin Kreeft,,,
1237,Netherlands,1736-08-20T00:00:00Z,Goude Put,"Boone, Cornelis", Cornelis Boone,,,
1238,Netherlands,1736-08-20T00:00:00Z,Goude Put,"Swaan, Adriaan", Adriaan Swaan,,,
1239,Netherlands,,Goude Put,"Nebbens, Jasper", Jasper Nebbens,,,
1240,Netherlands,1685-07-24T00:00:00Z,Goude Tijger,"Turner, Ephraim", Ephraim Turner,,,
1241,Netherlands,,Goude Tijger,"Pets, Daniel", Daniel Pets,,,
1242,Netherlands,1700-05-31T00:00:00Z,Graaf van Laarwijk (a) Conde de Vique,"Moij, Marten Simonsz", Marten Simonsz Moij,,Graaf van Laarwijk , Conde de Vique
